Date,Time,Date_Time,Sampling _Site,Sample_Location,Chlorophyll_a_ugl_replicate_1,Chlorophyll_a_ugl_replicate_2,Chlorophyll_a_ugl_replicate_3,Phycocyanin_ugl_replicate_1,Phycocyanin_ugl_replicate_2,Phycocyanin_ugl_replicate_3,Phycocyanin_to_chlorphyll_ratio_1,Phycocyanin_to_chlorphyll_ratio_2,Phycocyanin_to_chlorphyll_ratio_3,Sample_depth_feet,Comments_notes,Was_a_DOH_toxin_sample_collected,Currently_under_advisory,Are_advisory_signs_posted,Weather,Which_sections_of_the_pond_have_a_bloom,Are_people_using_the_lake_recreationally,Evidence_of_dead_fish_animals,Is_the_bloom_near_a_boat_ramp,Extent_of_waterbody_covered_by_bloom,Water_temperature_c,pH,ORP_mv,Specific_conductivity_uS-cm,Dissolved_oxygen_mg-l,Turbidity_NTU,iNaturalist_link,x coordinate,y coordinate
9/1/2023,12:29:00 PM,9/1/23 12:29 PM,Mashapaug_Pond,Shore,0.72,0.78,0.83,9.79,13.49,12.26,13.50,17.20,14.77,0.2,,No,No,Yes,"Sunny,Windy",,Yes,No,Yes,No bloom,,,,,,,,-71.43253,41.79393
9/11/2023,10:59:00 AM,9/11/23 10:59 AM,Spectacle_Pond,Shore,1.17,0.79,1.14,19.45,11.64,19.86,16.62,14.73,17.42,0.2,,No,No,No,Partly_Cloudy,,No,No,No,No bloom,,,,,,,,-71.44271,41.79039
9/11/2023,11:11:00 AM,9/11/23 11:11 AM,Mashapaug_Pond,Shore,0.52,0.46,0.49,19.04,17.39,17.19,36.61,37.80,35.04,0.2,,No,No,No,Partly_Cloudy,,Yes,No,Yes,No bloom,,,,,,,,-71.43253,41.79393
9/14/2023,8:09:00 AM,9/14/23 8:09 AM,Roosevelt_Lake,Shore,2.94,1.14,1.45,30.34,26.23,19.86,10.31,23.00,13.69,0.2,,No,Yes,Yes,Partly_Cloudy,,Yes,No,No,No bloom,,,,,,,,-71.41697,41.7828
9/26/2023,8:00:00 AM,9/26/23 8:00 AM,Roosevelt_Lake,Shore,1.00,0.69,0.56,33.42,23.76,41.23,33.42,34.43,74.96,0.2,,No,Yes,Yes,Overcast,,Yes,No,No,No bloom,,,,,,,,-71.41697,41.7828
9/28/2023,10:50:00 AM,9/28/23 10:50 AM,Spectacle_Pond,Shore,0.62,0.94,0.50,16.78,19.24,10.61,27.06,20.46,21.22,0.2,,No,No,No,"Sunny,Partly_Cloudy",,No,No,No,No bloom,,,,,,,,-71.44386401,41.78773001
9/28/2023,11:09:00 AM,9/28/23 11:09 AM,Mashapaug_Pond,Shore,0.40,0.28,0.43,24.17,23.15,23.15,48.22,82.57,53.83,0.2,,No,No,Yes,"Sunny,Partly_Cloudy",,Yes,No,Yes,No bloom,,,,,,,,-71.43549401,41.79227199
6/14/2024,8:31:00 AM,6/14/24 8:31 AM,Roosevelt_Lake,Shore,0.80,0.90,0.77,10.00,5.75,6.50,12.50,6.38,8.44,0.3,,No,No,Yes,Sunny,,No,No,No,No bloom,,,,,,,,-71.41576742,41.78452081
6/14/2024,9:29:00 AM,6/14/24 9:29 AM,Cunliff_Lake,Shore,2.23,2.11,2.46,23.42,23.92,29.39,10.50,11.33,11.94,0.3,,No,No,Yes,"Sunny,Windy",,No,No,Yes,No bloom,,,,,,,,-71.41418559,41.77704784
6/14/2024,9:41:00 AM,6/14/24 9:41 AM,Deep_Spring_Lake,Shore,1.59,1.44,1.46,3.57,6.25,5.50,2.35,4.34,3.76,0.3,,No,No,No,"Sunny,Windy",,No,No,No,No bloom,,,,,,,,-71.4147538,41.7777752
6/14/2024,9:07:00 AM,6/14/24 9:07 AM,Polo_Lake,Shore,5.64,5.34,5.08,7.25,5.75,5.25,1.28,1.07,1.03,0.3,,,No,Yes,Sunny,,Yes,No,No,No bloom,,,,,,,,-71.41537,41.78686
6/14/2024,11:16:00 AM,6/14/24 11:16 AM,Fenner_Pond,Shore,0.66,0.75,0.62,1.25,3.25,1.25,1.89,4.33,2.01,0.5,,,No,No,Sunny,,No,No,No,No bloom,,,,,,,,-71.41987,41.77198
